time,reference[0],output_ideal[0],output_secure[0],control_ideal[0],control_secure[0],control_error[0],output_error[0]
0,0,100,100,-501.071167,-501.0711669921875,-7.8125026448105928e-09,0
0.10000000000000001,0,94.774029631766126,94.774029631834054,-201.19606628881638,-201.19606628566507,-3.1513138765149051e-09,-6.7927885538665578e-11
0.20000000000000001,0,75.551949088752551,75.551949089063669,-142.03424614149387,-142.03424615314336,1.1649490261333995e-08,-3.1111824227991747e-10
0.30000000000000004,0,53.760821517315186,53.760821517759808,-107.11130792276157,-107.11130794649686,2.3735296394988836e-08,-4.4462211690188269e-10
0.40000000000000002,0,34.328761372614238,34.328761372658526,-86.647636602346338,-86.647636634058671,3.1712332315692038e-08,-4.4288128719927045e-11
0.5,0,18.31475332562491,18.314753324564084,-71.874711152162931,-71.874711185918329,3.3755398476387199e-08,1.0608260936351144e-09
0.60000000000000009,0,5.5912036190394803,5.5912036162572738,-59.79395240727915,-59.793952440643167,3.3364017326675821e-08,2.7822064652127665e-09
0.70000000000000007,0,-4.2805183088079994,-4.2805183136756906,-49.337797844959468,-49.337797875039485,3.0080016699685075e-08,4.8676911390543864e-09
0.80000000000000004,0,-11.760977846390915,-11.760977853442492,-40.150893041248629,-40.150893065420583,2.4171953327822848e-08,7.0515771000145833e-09
0.90000000000000002,0,-17.257945117456615,-17.257945126536008,-32.102224749504089,-32.102224768567261,1.9063172373989801e-08,9.0793932372434938e-09
1,0,-21.118482754520013,-21.118482765267434,-25.115226093330875,-25.115226106913582,1.3582706515080645e-08,1.0747420731149759e-08
1.1000000000000001,0,-23.637236758622787,-23.637236770580682,-19.116643087046867,-19.116643095338638,8.2917708255081379e-09,1.1957894230363308e-08
1.2000000000000002,0,-25.065774048606215,-25.0657740612764,-14.026310672728158,-14.026310675025806,2.2976482938474874e-09,1.2670184901253378e-08
1.3,0,-25.619741796815884,-25.619741809693139,-9.7588132432478574,-9.7588132404720156,-2.7758417786571954e-09,1.2877254818022266e-08
1.4000000000000001,0,-25.483986078354057,-25.483986090940775,-6.2272751439693081,-6.2272751383885119,-5.5807962695553215e-09,1.258671744608364e-08
1.5,0,-24.816348788014018,-24.81634879987293,-3.3465528340252177,-3.3465528238499567,-1.0175261078160247e-08,1.1858912074558248e-08
1.6000000000000001,0,-23.750714364482143,-23.750714375266874,-1.0353989161843771,-1.0353989047911925,-1.1393184617958241e-08,1.0784731330204522e-08
1.7000000000000002,0,-22.399643042903101,-22.399643052330028,0.78222289800304168,0.78222291256393861,-1.4560896932636069e-08,9.4269267947311164e-09
1.8,0,-20.856758111677465,-20.856758119561114,2.1764180608023196,2.1764180760846026,-1.5282282994633078e-08,7.8836492889422516e-09
1.9000000000000001,0,-19.198958055486894,-19.198958061695297,3.2110390196571075,3.2110390357265004,-1.6069392927420267e-08,6.2084026808406634e-09
2,0,-17.488477004224698,-17.488477008707715,3.9436277462789207,3.9436277628183212,-1.6539400515824809e-08,4.4830166245901637e-09
2.1000000000000001,0,-15.774797066870983,-15.774797069638293,4.425536783616792,4.4255368002313435,-1.6614551512361686e-08,2.767309936757556e-09
2.2000000000000002,0,-14.096410057068761,-14.096410058173927,4.7021718578651246,4.7021718743061776,-1.6441052963500624e-08,1.105165736703384e-09
2.3000000000000003,0,-12.48242614242792,-12.482426141959566,4.8133166663426863,4.8133166812056789,-1.4862992614439463e-08,-4.6835424427627004e-10
2.4000000000000004,0,-10.954029222652938,-10.954029220735752,4.7935112028614881,4.7935112171464827,-1.4284994520608052e-08,-1.9171864096279023e-09
2.5,0,-9.5257815911014614,-9.5257815879005587,4.672461974096656,4.6724619881067389,-1.401008287160721e-08,-3.2009026540436025e-09
2.6000000000000001,0,-8.2067829284983773,-8.2067829241763643,4.4754673881154687,4.4754674007435424,-1.2628073697840136e-08,-4.3220129697374432e-09
2.7000000000000002,0,-7.0016906696545744,-7.001690664364685,4.2238453358212666,4.2238453465283374,-1.0707070785542783e-08,-5.2898894153941001e-09
2.8000000000000003,0,-5.9116102383583549,-5.9116102322713626,3.9353529747218303,3.9353529842648052,-9.5429748547815052e-09,-6.0869922435813351e-09
2.9000000000000004,0,-4.9348646090833048,-4.9348646023846277,3.6245911807605573,3.6245911890434876,-8.2829303416076527e-09,-6.6986771685151325e-09
3,0,-4.0676532000744636,-4.067653192937116,3.3033881737355202,3.3033881812655963,-7.5300761182006681e-09,-7.1373476018266047e-09
3.1000000000000001,0,-3.3046103069735815,-3.3046102995515017,2.9811585143467507,2.9811585211653222,-6.8185714852120327e-09,-7.4220798396140708e-09
3.2000000000000002,0,-2.639273219805752,-2.6392732122247247,2.6652350647423138,2.6652350699495875,-5.2072737233288535e-09,-7.5810273614251855e-09
3.3000000000000003,0,-2.0644698906744452,-2.0644698830443793,2.3611726386206815,2.3611726422120043,-3.5913227947048654e-09,-7.6300659124228787e-09
3.4000000000000004,0,-1.5726355878002221,-1.5726355802386716,2.073022975503708,2.0730229792398149,-3.736106979346232e-09,-7.5615504968595815e-09
3.5,0,-1.1560674281416787,-1.1560674207553538,1.8035813873817754,1.8035813893929811,-2.0112056464682837e-09,-7.3863248850614127e-09
3.6000000000000001,0,-0.80712506277909868,-0.80712505564061199,1.5546059724305796,1.5546059744105958,-1.9800161510374892e-09,-7.1384866906498701e-09
3.7000000000000002,0,-0.51838512688276017,-0.51838512006293358,1.3270106951855989,1.3270106955613472,-3.7574832134623648e-10,-6.8198265923413715e-09
3.8000000000000003,0,-0.28275638395742347,-0.28275637750668015,1.1210339181850935,1.1210339187595941,-5.7450066925923693e-10,-6.4507433283900184e-09
3.9000000000000004,0,-0.093561811621336283,-0.093561805589872288,0.93638415695477906,0.93638415689043542,6.4343641525965722e-11,-6.031463994915498e-09
4,0,0.055406791440500057,0.055406797031615003,0.77236493625204861,0.77236493628336123,-3.1312619164225453e-11,-5.591114946024156e-09
4.1000000000000005,0,0.16985673910452539,0.16985674424657224,0.62798066643675754,0.62798066509564254,1.3411149968334257e-09,-5.1420468438756473e-09
4.2000000000000002,0,0.25498060066738104,0.25498060535943667,0.50202544833304064,0.50202544786992431,4.6311632306839101e-10,-4.6920556329155261e-09
4.2999999999999998,0,0.31545678830840801,0.31545679254286091,0.39315666472401034,0.39315666389121096,8.327993850087978e-10,-4.2344528994320285e-09
4.4000000000000004,0,0.35546134756910552,0.35546135136905166,0.29995513666249796,0.2999551353943824,1.2681155570071212e-09,-3.7999461355298081e-09
4.5,0,0.37868818685279165,0.37868819023873107,0.2209735214957671,0.22097352060801481,8.8775228834769848e-10,-3.3859394177326863e-09
4.6000000000000005,0,0.38837541371837753,0.38837541670871506,0.15477451388962704,0.1547745125894128,1.3002142418283569e-09,-2.9903375331485904e-09
4.7000000000000002,0,0.3873358324168007,0.38733583503932456,0.099960286948795662,0.099960285373919919,1.5748757437039629e-09,-2.6225238647370475e-09
4.8000000000000007,0,0.37799000025302409,0.37799000252655857,0.055194482419983482,0.055194481050844499,1.3691389827430456e-09,-2.2735344717972339e-09
4.9000000000000004,0,0.36240054211842587,0.36240054405982913,0.019217930633225633,0.019217929003463679,1.6297619538641062e-09,-1.941403260374841e-09
5,0,0.34230668552321725,0.34230668715511348,-0.0091408448369127981,-0.009140846510512942,1.6736001438866221e-09,-1.6318962292594108e-09
