time,reference[0],output_ideal[0],output_secure[0],control_ideal[0],control_secure[0],control_error[0],output_error[0]
0,0,100,100,-501.071167,-501.07116700000915,9.1517904365900904e-12,0
0.10000000000000001,0,94.774029631766126,94.774029631766041,-201.19606628881638,-201.19606628884776,3.1377567211166024e-11,8.5265128291212022e-14
0.20000000000000001,0,75.551949088752551,75.551949088751954,-142.03424614149387,-142.03424614155912,6.5256244852207601e-11,5.9685589803848416e-13
0.30000000000000004,0,53.760821517315186,53.760821517312962,-107.11130792276157,-107.11130792285383,9.2256868811091408e-11,2.2239987629291136e-12
0.40000000000000002,0,34.328761372614238,34.328761372608739,-86.647636602346338,-86.64763660244877,1.0243184078717604e-10,5.4996007747831754e-12
0.5,0,18.31475332562491,18.314753325614451,-71.874711152162931,-71.874711152263302,1.0037126685347175e-10,1.0459189070388675e-11
0.60000000000000009,0,5.5912036190394803,5.5912036190229388,-59.79395240727915,-59.793952407372544,9.3393737188307568e-11,1.6541434888495132e-11
0.70000000000000007,0,-4.2805183088079994,-4.2805183088309597,-49.337797844959468,-49.337797845036249,7.6781248026236426e-11,2.2960300327667937e-11
0.80000000000000004,0,-11.760977846390915,-11.76097784641993,-40.150893041248629,-40.150893041308869,6.0239813137741294e-11,2.9015012614763691e-11
0.90000000000000002,0,-17.257945117456615,-17.257945117490689,-32.102224749504089,-32.102224749548128,4.403943876241101e-11,3.4074076893375604e-11
1,0,-21.118482754520013,-21.118482754557807,-25.115226093330875,-25.115226093356878,2.6002311415140866e-11,3.7793768115079729e-11
1.1000000000000001,0,-23.637236758622787,-23.637236758662795,-19.116643087046867,-19.116643087054793,7.9261042174039176e-12,4.0007108736972441e-11
1.2000000000000002,0,-25.065774048606215,-25.065774048646862,-14.026310672728158,-14.026310672722067,-6.0911276023034588e-12,4.0646597199156531e-11
1.3,0,-25.619741796815884,-25.619741796855642,-9.7588132432478574,-9.7588132432262427,-2.1614710021822248e-11,3.9758418779456406e-11
1.4000000000000001,0,-25.483986078354057,-25.48398607839157,-6.2272751439693081,-6.2272751439415357,-2.7772451005603216e-11,3.7513103734454489e-11
1.5,0,-24.816348788014018,-24.816348788048121,-3.3465528340252177,-3.3465528339851023,-4.0115466504175856e-11,3.4102498602806008e-11
1.6000000000000001,0,-23.750714364482143,-23.750714364511992,-1.0353989161843771,-1.0353989161418922,-4.2484904483330865e-11,2.9849900329281809e-11
1.7000000000000002,0,-22.399643042903101,-22.399643042928048,0.78222289800304168,0.7822228980527528,-4.9711124106011084e-11,2.4947155452537118e-11
1.8,0,-20.856758111677465,-20.856758111697154,2.1764180608023196,2.1764180608531736,-5.085398768756022e-11,1.9689139207912376e-11
1.9000000000000001,0,-19.198958055486894,-19.19895805550113,3.2110390196571075,3.2110390197109284,-5.3820947698568489e-11,1.4235723710953607e-11
2,0,-17.488477004224698,-17.488477004233491,3.9436277462789207,3.9436277463333482,-5.4427573559223674e-11,8.7929663550312398e-12
2.1000000000000001,0,-15.774797066870983,-15.774797066874454,4.425536783616792,4.4255367836677824,-5.099032307498419e-11,3.4710012641880894e-12
2.2000000000000002,0,-14.096410057068761,-14.09641005706718,4.7021718578651246,4.7021718579159488,-5.0824233710500266e-11,-1.5809575870662229e-12
2.3000000000000003,0,-12.48242614242792,-12.4824261424217,4.8133166663426863,4.8133166663905325,-4.7846171469245746e-11,-6.2208016515796771e-12
2.4000000000000004,0,-10.954029222652938,-10.954029222642522,4.7935112028614881,4.793511202906517,-4.5028869521956949e-11,-1.0416556506243069e-11
2.5,0,-9.5257815911014614,-9.52578159108735,4.672461974096656,4.6724619741347171,-3.8061109819409467e-11,-1.411137873219559e-11
2.6000000000000001,0,-8.2067829284983773,-8.2067829284811253,4.4754673881154687,4.4754673881534002,-3.7931435770133248e-11,-1.7251977624255233e-11
2.7000000000000002,0,-7.0016906696545744,-7.0016906696347778,4.2238453358212666,4.2238453358511556,-2.9888980179748614e-11,-1.9796608796696091e-11
2.8000000000000003,0,-5.9116102383583549,-5.9116102383365501,3.9353529747218303,3.935352974751356,-2.9525715206091263e-11,-2.1804780203638074e-11
2.9000000000000004,0,-4.9348646090833048,-4.9348646090600532,3.6245911807605573,3.6245911807845723,-2.4015012201061836e-11,-2.3251622849329578e-11
3,0,-4.0676532000744636,-4.0676532000502252,3.3033881737355202,3.3033881737528374,-1.7317258738103192e-11,-2.4238389073616418e-11
3.1000000000000001,0,-3.3046103069735815,-3.3046103069488373,2.9811585143467507,2.981158514366105,-1.9354295943685429e-11,-2.4744206683635639e-11
3.2000000000000002,0,-2.639273219805752,-2.6392732197809514,2.6652350647423138,2.6652350647551581,-1.2844392216493361e-11,-2.4800606013286597e-11
3.3000000000000003,0,-2.0644698906744452,-2.0644698906498813,2.3611726386206815,2.3611726386309888,-1.0307310560619953e-11,-2.4563906464436513e-11
3.4000000000000004,0,-1.5726355878002221,-1.5726355877762135,2.073022975503708,2.073022975510094,-6.3860028376439004e-12,-2.400857290751901e-11
3.5,0,-1.1560674281416787,-1.1560674281185053,1.8035813873817754,1.8035813873861786,-4.4031445156633708e-12,-2.3173463148395967e-11
3.6000000000000001,0,-0.80712506277909868,-0.8071250627570058,1.5546059724305796,1.5546059724361929,-5.6132876125047915e-12,-2.2092883078528303e-11
3.7000000000000002,0,-0.51838512688276017,-0.51838512686189953,1.3270106951855989,1.3270106951876874,-2.0885515539248445e-12,-2.0860646543496841e-11
3.8000000000000003,0,-0.28275638395742347,-0.28275638393784636,1.1210339181850935,1.1210339181866518,-1.5583090373638697e-12,-1.9577117704727698e-11
3.9000000000000004,0,-0.093561811621336283,-0.093561811603103701,0.93638415695477906,0.93638415695053734,4.2417180878828731e-12,-1.8232582110755402e-11
4,0,0.055406791440500057,0.055406791457324502,0.77236493625204861,0.77236493625118186,8.6675111532485971e-13,-1.6824444615259893e-11
